"x","y","t"
17.4957942133537,-17.5248290389078,2022-08-31 17:01:54
17.8338032648433,-16.8603284109151,2022-08-31 18:16:42
17.7002344191307,-16.7896935379831,2022-08-31 18:45:54
17.1709530018037,-16.6775302360998,2022-08-31 20:03:30
16.1761925545754,-16.5984841626836,2022-08-31 21:12:50
17.0363722217735,-18.298407376511,2022-08-31 22:04:21
17.1072128602769,-18.7097497284412,2022-08-31 23:07:48
18.4456490625627,-16.9302718818653,2022-09-01 00:09:31
18.6146916696802,-16.6587763544405,2022-09-01 01:02:29
18.3036762527889,-15.4269306999398,2022-09-01 02:02:02
16.294751624926,-16.8486964749638,2022-09-01 03:06:31
15.8530732643791,-17.4342216699384,2022-09-01 04:02:09
15.3518822756829,-17.1870319030713,2022-09-01 05:04:38
15.3062336344272,-17.288135866425,2022-09-01 05:55:01
15.2147313161753,-17.4263880370883,2022-09-01 07:08:42
15.7681561034406,-18.4829090401763,2022-09-01 08:03:45
16.4200950808125,-17.0001608897932,2022-09-01 08:58:46
19.0542169976514,-18.7708005029708,2022-09-01 10:06:44
18.7583191772923,-18.2048444789369,2022-09-01 11:05:57
18.6026423268951,-17.993133960804,2022-09-01 11:57:20
19.2933223520871,-17.6400685565546,2022-09-01 13:10:21
15.0943496458232,-17.308396734111,2022-09-01 14:09:15
15.4060751997167,-16.2760879193665,2022-09-01 15:12:08
16.470067687775,-17.9629899997031,2022-09-01 16:12:56
19.2662911243038,-18.9202172179706,2022-09-01 17:06:32
19.7282330150483,-19.2780131382635,2022-09-01 18:04:14
19.7754272812046,-19.2477662737947,2022-09-01 19:08:20
17.5969380499562,-19.990849688719,2022-09-01 20:05:20
17.4022014412098,-17.3056331061292,2022-09-01 21:02:59
17.5245638211723,-17.8369639348704,2022-09-01 22:02:49
17.4220531928586,-17.9915174077498,2022-09-01 22:55:23
16.8045459233457,-17.6948603801429,2022-09-02 00:11:03
17.8640568034723,-16.8673772048438,2022-09-02 01:05:03
17.3613822328392,-15.8179579546675,2022-09-02 02:03:59
16.3170373146888,-17.5054547175532,2022-09-02 03:01:18
16.2365950611187,-17.014284869167,2022-09-02 04:11:40
16.1800088912249,-16.0995212885318,2022-09-02 05:15:21
15.9593362904852,-17.7981532848906,2022-09-02 06:11:47
16.2376570625696,-17.3172933430877,2022-09-02 07:17:26
16.1688268504571,-16.9773074222729,2022-09-02 08:07:18
17.4982333186315,-15.9775964673609,2022-09-02 09:07:30
17.5511436834,-15.9571510033216,2022-09-02 10:08:26
17.5686740528792,-15.9134410778992,2022-09-02 11:09:41
15.9078795426525,-16.5471339902142,2022-09-02 12:08:11
15.837852428481,-16.4813356481493,2022-09-02 12:58:08
15.744594303146,-17.4825544138905,2022-09-02 14:04:25
17.1759886929533,-19.9397852777736,2022-09-02 15:12:20
17.824644036009,-16.8261441038921,2022-09-02 16:11:34
19.7914590322878,-16.7625426362036,2022-09-02 17:02:06
18.1453317056177,-15.3111972580431,2022-09-02 18:11:26
17.2945853583049,-17.7054435700411,2022-09-02 19:08:17
18.2225672421744,-19.1883558827918,2022-09-02 20:10:37
18.4086670741206,-19.3358810472535,2022-09-02 21:04:17
19.3428585956339,-19.6112981077982,2022-09-02 22:19:24
19.7687539332779,-18.2481875520665,2022-09-02 23:02:12
18.0042069432093,-17.2148297494743,2022-09-02 23:55:03
16.4476593624568,-16.9442665362731,2022-09-03 01:18:48
16.4383433949202,-18.1461625107797,2022-09-03 02:16:30
17.4299619823461,-18.4057903588982,2022-09-03 03:03:51
17.0290585404029,-18.7608545907307,2022-09-03 03:59:27
17.0415160038043,-18.7152447558241,2022-09-03 05:03:29
17.9303545005154,-17.0159032006748,2022-09-03 06:17:13
19.190747628524,-16.4612601097673,2022-09-03 07:00:48
19.4699290284654,-16.8811657618266,2022-09-03 08:01:05
17.9005241336999,-17.2077300032368,2022-09-03 09:21:02
17.2811281386297,-17.2303954036441,2022-09-03 10:07:26
17.0985923535889,-18.0812040110119,2022-09-03 10:59:53
19.657719840901,-19.4033467186615,2022-09-03 12:00:51
19.8063817006536,-19.5548508483917,2022-09-03 13:11:19
18.7923644801602,-15.4243405443383,2022-09-03 14:14:29
15.045678590145,-17.424776191148,2022-09-03 15:04:05
16.59403148368,-18.3846148108598,2022-09-03 16:01:52
17.1846756843617,-15.5267561497865,2022-09-03 16:59:47
17.7886012171162,-18.553833631915,2022-09-03 18:06:06
19.7620296349982,-18.5203030988807,2022-09-03 18:59:26
19.6228390901815,-19.3311127064284,2022-09-03 20:14:32
17.9569266247097,-19.0438026861986,2022-09-03 21:16:02
15.6101262878859,-19.93117867806,2022-09-03 22:05:43
18.3880855098367,-15.10288625455,2022-09-03 22:55:10
17.900653215521,-17.7284824451199,2022-09-03 23:59:44
19.9547778074397,-17.902835509344,2022-09-04 01:02:01
19.7510113505414,-19.2411593422061,2022-09-04 02:04:01
19.4005426580086,-19.9897047698032,2022-09-04 02:56:40
19.1561969189206,-19.6072874138597,2022-09-04 04:17:41
19.4003802546998,-18.2796777729876,2022-09-04 05:03:00
19.3868431664538,-18.1485048106872,2022-09-04 05:55:15
19.5939743357478,-15.0135245405836,2022-09-04 06:55:14
17.4237389741,-16.9053660313366,2022-09-04 08:11:49
17.087288379739,-17.9390457740054,2022-09-04 09:09:27
18.7887643652968,-19.8837963049999,2022-09-04 10:02:35
15.4203592872247,-19.8361420904752,2022-09-04 11:02:01
17.070759308897,-18.04792641534,2022-09-04 12:06:43
17.5580157000572,-18.4602236261358,2022-09-04 13:02:20
18.0518008076586,-18.8760112108197,2022-09-04 14:05:53
18.0952875125688,-18.5974731664173,2022-09-04 15:05:36
18.8913271277444,-15.8323099727742,2022-09-04 16:10:59
15.516343407752,-15.9185206176713,2022-09-04 17:04:42
15.0289514608216,-16.3460688860156,2022-09-04 17:57:22
15.202075377875,-16.9057634830708,2022-09-04 19:17:23
19.3788174700923,-19.9377093305578,2022-09-04 19:57:00
19.0535221853061,-19.98603895423,2022-09-04 21:16:50
15.3287734994199,-17.8237058966421,2022-09-04 22:04:17
15.6454737335211,-18.8409517138265,2022-09-04 23:09:29
17.956195870135,-17.6028657525312,2022-09-05 00:12:03
17.9950746881077,-18.0985866152914,2022-09-05 01:02:57
18.4024739527842,-19.3600697422633,2022-09-05 02:13:34
18.2181091485778,-19.4489338652231,2022-09-05 03:11:38
16.9225366080878,-18.4804624199169,2022-09-05 04:10:04
17.0127379596932,-18.8212423471501,2022-09-05 05:07:58
15.7177225049818,-19.8902406664332,2022-09-05 06:03:08
16.8048137364211,-18.024491931987,2022-09-05 07:07:16
17.4386798383668,-18.1681449195603,2022-09-05 08:08:53
16.2513295969926,-18.2221372632077,2022-09-05 08:57:07
15.8697710848646,-18.2923810048494,2022-09-05 10:07:22
15.6131719293073,-16.5494007128291,2022-09-05 11:14:01
17.7150647797156,-17.0110809110338,2022-09-05 11:59:38
18.8778020545375,-16.4773207546212,2022-09-05 13:07:33
19.5462604498025,-17.3716997679556,2022-09-05 14:12:08
18.1976045386866,-19.7101050247438,2022-09-05 15:09:45
18.2304309152067,-19.7313056622865,2022-09-05 16:07:40
18.2198047622573,-19.7478636763757,2022-09-05 17:01:18
17.9912052530097,-19.8000072242226,2022-09-05 18:00:52
18.7778568230802,-17.6794458106393,2022-09-05 19:08:23
16.0174336245051,-18.7581318572164,2022-09-05 20:04:29
15.955688428483,-19.3482661070768,2022-09-05 21:12:42
18.9037842311431,-19.889344484685,2022-09-05 22:06:03
18.7530320628313,-19.9986205405323,2022-09-05 23:05:01
16.5169065475464,-18.1325920087052,2022-09-06 00:10:01
16.2400577165419,-18.0600880114129,2022-09-06 00:55:52
17.2634191881167,-19.1285444725072,2022-09-06 02:08:58
17.2897958897054,-19.1329874291318,2022-09-06 03:06:30
19.6865695253247,-18.3273022096371,2022-09-06 04:13:35
18.3174604947912,-18.3222863268107,2022-09-06 05:15:47
17.9823685123818,-17.6422434477368,2022-09-06 06:14:03
17.4420140253613,-17.2705787922721,2022-09-06 07:09:10
17.1433538471116,-16.0325885380618,2022-09-06 08:03:40
19.1094174813479,-17.3631613980746,2022-09-06 09:13:36
18.0749693307094,-19.6734068224439,2022-09-06 10:15:28
17.3551970089553,-18.3430030320771,2022-09-06 11:01:45
16.8483553847764,-18.9142671909183,2022-09-06 11:55:54
16.4242191795027,-19.2094917718321,2022-09-06 13:01:25
15.8709463081555,-19.8637419720879,2022-09-06 14:09:29
15.9645466119749,-19.8641887611942,2022-09-06 15:07:18
17.0154724772787,-19.7513979846612,2022-09-06 16:18:50
17.0489521660376,-19.7347155650146,2022-09-06 17:00:37
17.0279826797312,-19.7564631227637,2022-09-06 18:11:23
16.29646884338,-19.8722283355193,2022-09-06 19:08:29
16.1319169312483,-19.638452133676,2022-09-06 20:10:51
16.3196117233019,-19.5805027952883,2022-09-06 21:21:34
17.6615626403596,-16.8448086876189,2022-09-06 21:56:23
18.4125261907931,-17.1040737019153,2022-09-06 23:12:10
18.6187914724229,-17.2173365586204,2022-09-07 00:08:35
19.5065962755587,-17.6082377600716,2022-09-07 01:06:31
19.4330653643701,-18.0623263743706,2022-09-07 02:02:54
19.218515867833,-19.0257031986723,2022-09-07 03:06:12
19.199647218734,-19.1873299586121,2022-09-07 04:12:05
19.0744080666918,-19.285068196035,2022-09-07 05:05:52
18.3940831704065,-18.5457749321824,2022-09-07 06:03:42
18.7598898793338,-18.3722155884607,2022-09-07 07:06:22
19.8996049752226,-19.0782014786033,2022-09-07 08:08:26
18.9332816538168,-16.9330562887946,2022-09-07 09:10:24
18.5895259903977,-16.5002047025366,2022-09-07 10:18:34
16.7208891527262,-19.0584479570156,2022-09-07 11:10:33
16.2961519080913,-19.5417528665159,2022-09-07 11:56:33
16.2083798693493,-19.5807477836963,2022-09-07 13:12:21
16.0503257483244,-18.4609174929559,2022-09-07 14:04:45
16.7210668770596,-17.6587495471351,2022-09-07 15:12:30
19.4274358441355,-16.7520536075113,2022-09-07 16:07:33
18.870021165791,-15.8201180886244,2022-09-07 17:06:06
19.759049386112,-17.5267848005053,2022-09-07 18:09:22
19.7221381736454,-17.4023215216352,2022-09-07 18:59:37
15.1671523794066,-19.120777266263,2022-09-07 20:19:15
16.9570354650961,-19.7695360089652,2022-09-07 21:09:47
17.7639000482857,-18.5561921289889,2022-09-07 22:02:54
16.9651080319192,-16.5642077859957,2022-09-07 23:06:23
16.9970680687344,-16.562370627257,2022-09-07 23:59:57
17.2976725900546,-15.9702831035014,2022-09-08 01:08:39
17.2197195908055,-15.8664591065841,2022-09-08 02:06:47
16.8279743282357,-16.1783040306531,2022-09-08 03:07:54
16.6267956309719,-17.4324858814478,2022-09-08 04:03:49
16.4954064054415,-17.6555428346386,2022-09-08 05:15:32
16.3361318930751,-18.4577619525371,2022-09-08 06:04:22
16.5736140338937,-18.0350905427709,2022-09-08 07:07:09
19.4658631028607,-16.8990837261546,2022-09-08 08:06:45
19.8404284778051,-17.0582821029006,2022-09-08 09:14:14
18.8371881749714,-18.1063167103799,2022-09-08 10:05:57
18.8040952223819,-18.3378316926537,2022-09-08 10:59:43
18.6331279813778,-19.5540187546983,2022-09-08 12:10:32
18.9406011196086,-19.6673816144234,2022-09-08 13:16:30
19.9888368752319,-17.9310895697912,2022-09-08 14:05:30
19.9720007786062,-17.5674102457473,2022-09-08 15:12:28
17.489409253397,-16.8948660022113,2022-09-08 16:14:04
16.7977860466111,-16.6929174470482,2022-09-08 16:59:22
15.0161379655125,-15.6863579447847,2022-09-08 18:17:58
19.3508532799315,-18.8688380491221,2022-09-08 19:08:24
19.5256436230848,-18.3074056361802,2022-09-08 20:16:09
19.8608682512771,-19.0719193316763,2022-09-08 21:06:05
19.8839677969459,-19.6998775770888,2022-09-08 22:10:02
19.8763372029876,-19.7751408634009,2022-09-08 23:09:55
19.7806178358616,-19.8892982904334,2022-09-08 23:53:54
18.8733526589582,-18.3000247157179,2022-09-09 01:05:49
15.7254885266535,-19.0082544079516,2022-09-09 02:07:55
15.4303993853275,-16.2961555528687,2022-09-09 02:58:49
16.0407481129048,-16.2153090594336,2022-09-09 04:03:44
18.8701510552084,-16.8353252806002,2022-09-09 04:56:27
19.3105595407309,-16.4415368180955,2022-09-09 06:10:04
19.4657606674824,-15.3046263232827,2022-09-09 07:05:44
19.5998699777527,-15.1800803975668,2022-09-09 08:04:27
19.8401081936434,-15.4321753340773,2022-09-09 09:00:24
17.9776741917711,-18.0888838967076,2022-09-09 10:08:25
17.6543990634615,-19.0147545731626,2022-09-09 11:07:59
18.3560727403034,-19.1329767556163,2022-09-09 12:10:52
19.813478734903,-19.241767810937,2022-09-09 13:04:07
19.8827252913266,-19.2876117549138,2022-09-09 13:57:05
19.8328544003889,-19.341340543353,2022-09-09 15:07:56
17.9480127696414,-19.9139076140942,2022-09-09 16:08:30
17.1794867378892,-19.9154258215334,2022-09-09 17:07:29
17.1314550607232,-19.8272511058487,2022-09-09 17:59:30
18.434133897163,-16.9637907678029,2022-09-09 19:08:29
18.4777267752914,-16.9397793553537,2022-09-09 20:16:34
18.7115035969531,-16.4216536666499,2022-09-09 21:05:45
18.6983320668107,-16.3797405973775,2022-09-09 22:14:01
16.205946252821,-16.051784323575,2022-09-09 23:06:21
19.5334700352279,-19.9496981552802,2022-09-10 00:04:06
19.4361982543487,-19.9055918659782,2022-09-10 01:02:57
18.069971061754,-18.7118239738746,2022-09-10 01:59:15
19.9546774937771,-19.5581441268092,2022-09-10 03:00:37
19.9645253320923,-19.5387327180244,2022-09-10 04:17:04
19.9055014266865,-18.4827476052567,2022-09-10 05:05:42
19.8446182648186,-15.7181550691603,2022-09-10 06:05:07
19.7347599431407,-15.5290607568342,2022-09-10 07:07:39
19.7376233398682,-15.3968732849695,2022-09-10 08:04:28
19.7772806430934,-15.1876068054233,2022-09-10 09:10:38
17.8983279762324,-17.516865483392,2022-09-10 10:15:55
19.6388699122472,-19.2374669979326,2022-09-10 11:13:39
19.7549673930043,-19.936504536774,2022-09-10 12:11:54
19.4444800113561,-15.6851415650453,2022-09-10 13:05:38
16.2438968857517,-16.9410340276547,2022-09-10 14:12:29
18.6901955021778,-16.3104677000782,2022-09-10 15:02:19
19.6708087298088,-16.1447100576945,2022-09-10 16:06:17
19.3564391877735,-19.5113158623688,2022-09-10 17:06:30
18.8967512360774,-19.1989396186313,2022-09-10 18:00:00
18.1942878798116,-19.3334957432002,2022-09-10 19:06:10
18.1426816097461,-19.0666415274143,2022-09-10 20:12:01
16.4517906857189,-15.9153377432842,2022-09-10 21:00:53
15.7651037662523,-15.5135472753318,2022-09-10 22:09:35
19.7233781470684,-16.6189503393602,2022-09-10 23:10:19
19.7960851835785,-16.991959345038,2022-09-11 00:06:13
18.4947428251151,-19.5401002524188,2022-09-11 01:16:05
